Player Name,Position,Games Played,Minutes Played,Points,Rebounds,Assists,Steals,Blocks
Al Horford,Center,43,26.68,7.93,5.53,1.88,0.56,0.91
Jrue Holiday,Point Guard,44,30.24,10.98,4.39,3.68,0.98,0.43
Torrey Craig,Power Forward,1,8.85,6.00,0.00,1.00,0.00,1.00
Luke Kornet,Center,49,17.25,5.14,5.02,1.55,0.53,0.94
Derrick White,Point Guard,52,33.65,16.12,4.23,4.29,0.85,1.12
Kristaps Porzingis,Power Forward,29,28.99,19.41,7.03,2.00,0.76,1.62
Jaylen Brown,Shooting Guard,46,35.30,22.93,6.04,4.78,1.22,0.28
Jayson Tatum,Small Forward,52,36.38,27.04,8.69,5.58,1.15,0.54
Sam Hauser,Small Forward,46,20.13,7.70,3.04,0.98,0.65,0.17
Payton Pritchard,Point Guard,54,27.90,13.83,3.85,3.52,0.87,0.19
Xavier Tillman,Power Forward,27,7.25,0.93,1.33,0.26,0.30,0.19
Drew Peterson,Small Forward,14,9.04,2.71,1.93,0.79,0.14,0.14
Neemias Queta,Center,43,14.25,5.14,3.65,0.63,0.33,0.67
Anton Watson,Small Forward,0,--,--,--,--,--,--
Baylor Scheierman,Shooting Guard,12,6.15,0.75,1.50,0.58,0.25,0.00
Jaden Springer,Point Guard,26,5.42,1.73,0.92,0.38,0.46,0.04
JD Davison,Point Guard,5,4.72,1.20,0.40,0.20,0.20,0.00
Jordan Walsh,Shooting Guard,37,7.60,1.57,1.08,0.30,0.24,0.22
TEAM AVERAGE PER GAME,,55,242.27,117.22,45.15,25.82,7.29,5.71
