Trend,ATS Record,Cover %,MOV,ATS +/-
As Home Underdog,3-1-1,75.0%,5.4,+11.4
As Underdog,11-6-1,64.7%,1.4,+6.6
With Rest Advantage,10-6-0,62.5%,10.1,+5.5
As Away Underdog,8-5-0,61.5%,-0.1,+4.8
Division Games,8-5-0,61.5%,7.5,+7.1
No Rest,7-5-0,58.3%,5.5,+3.4
As Away Team,19-16-0,54.3%,3.0,+1.5
With Rest Disadvantage,7-6-0,53.8%,1.5,-0.2
Conference Games,23-22-0,51.1%,4.5,+2.6
As Away Favorite,11-11-0,50.0%,4.8,-0.4
2-3 Days Off,5-5-0,50.0%,4.9,+3.4
After A Win,18-19-0,48.6%,6.0,+2.2
All Games,31-35-1,47.0%,3.8,+0.7
Regular Season Games,31-35-1,47.0%,3.8,+0.7
After A Loss,13-15-1,46.4%,1.4,-0.9
1 Day Off,18-23-1,43.9%,3.5,-0.5
Non-Division Games,23-30-1,43.4%,2.9,-0.9
As Favorite,20-29-0,40.8%,4.7,-1.5
As Home Team,12-19-1,38.7%,4.8,-0.3
Non-Conference Games,8-13-1,38.1%,2.5,-3.1
With Equal Rest,14-23-1,37.8%,2.0,-1.1
As Home Favorite,9-18-0,33.3%,4.6,-2.4
4+ Days Off,1-2-0,33.3%,-1.0,-2.8
