Trend,Over Record,Over %,Under %,Total +/-
As Home Underdog,4-1-0,80.0%,20.0%,+10.3
With Rest Disadvantage,10-4-0,71.4%,28.6%,+6.3
No Rest,9-4-0,69.2%,30.8%,+8.2
Division Games,9-5-0,64.3%,35.7%,+5.4
As Underdog,11-7-0,61.1%,38.9%,+2.1
After A Win,24-16-0,60.0%,40.0%,+2.8
As Home Team,20-15-0,57.1%,42.9%,+3.7
Conference Games,26-20-0,56.5%,43.5%,+1.3
All Games,38-32-0,54.3%,45.7%,+1.5
Regular Season Games,38-32-0,54.3%,45.7%,+1.5
As Away Underdog,7-6-0,53.8%,46.2%,-1.1
As Home Favorite,16-14-0,53.3%,46.7%,+2.7
With Rest Advantage,9-8-0,52.9%,47.1%,-1.7
1 Day Off,23-21-0,52.3%,47.7%,+0.5
As Favorite,27-25-0,51.9%,48.1%,+1.3
Non-Division Games,29-27-0,51.8%,48.2%,+0.5
As Away Team,18-17-0,51.4%,48.6%,-0.8
As Away Favorite,11-11-0,50.0%,50.0%,-0.6
2-3 Days Off,5-5-0,50.0%,50.0%,+0.1
Non-Conference Games,12-12-0,50.0%,50.0%,+1.8
With Equal Rest,19-20-0,48.7%,51.3%,+1.1
After A Loss,14-15-0,48.3%,51.7%,+0.1
4+ Days Off,1-2-0,33.3%,66.7%,-9.0
