Category,MIN Offense,Value (rank),MIN Defense,Value (rank)
Overall Statistics,Points/Game,112.8 (#19),Opp Points/Game,109.2 (#6)
Overall Statistics,Avg Score Margin,+3.6 (#8),Opp Avg Score Margin,-3.6 (#8)
Overall Statistics,Fastbreak Pts/Gm,13.2 (#26),Opp Fastbreak Pts/Gm,14.2 (#6)
Overall Statistics,Pts in Paint/Gm,45.4 (#25),Opp Pts in Paint/Gm,47.8 (#12)
Overall Statistics,Assists/Game,25.8 (#18),Opp Assists/Game,24.6 (#5)
Overall Statistics,Total Rebounds/Gm,51.9 (#17),Opp Total Rebounds/Gm,51.7 (#9)
Overall Statistics,Assists/FGM,0.639 (#14),Opp Assists/FGM,0.610 (#4)
Overall Statistics,Assists/Turnover,1.773 (#20),Opp Assists/Turnover,1.668 (#6)
Shooting Statistics,Effective FG %,54.9% (#11),Opp Effective FG %,53.1% (#7)
Shooting Statistics,FTA/FGA,0.246 (#16),Opp FTA/FGA,0.233 (#11)
Shooting Statistics,Free Throw %,79.5% (#8),Opp Free Throw %,77.3% (#9)
Shooting Statistics,Three Point %,37.9% (#5),Opp Three Point %,34.9% (#7)
Shooting Statistics,Two Point %,53.2% (#22),Opp Two Point %,53.6% (#11)
Shooting Statistics,Shooting %,46.2% (#17),Opp Shooting %,45.9% (#8)
Shooting Statistics,Shooting Efficiency,1.157 (#11),Opp Shooting Efficiency,1.119 (#6)
Shooting Statistics,FGM/Game,40.3 (#24),Opp FGM/Game,40.4 (#7)
Shooting Statistics,FGA/Game,87.2 (#22),Opp FGA/Game,88.0 (#8)
Shooting Statistics,3PM/Game,15.2 (#5),Opp 3PM/Game,12.6 (#3)
Shooting Statistics,3PA/Game,40.0 (#5),Opp 3PA/Game,36.2 (#8)
Shooting Statistics,FTM/Game,17.1 (#15),Opp FTM/Game,15.8 (#6)
Shooting Statistics,FTA/Game,21.5 (#19),Opp FTA/Game,20.5 (#6)
Scoring Statistics,1st Qtr Pts/Gm,27.9 (#19),Opp 1st Qtr Pts/Gm,27.7 (#11)
Scoring Statistics,2nd Qtr Pts/Gm,27.3 (#23),Opp 2nd Qtr Pts/Gm,26.8 (#2)
Scoring Statistics,3rd Qtr Pts/Gm,28.7 (#18),Opp 3rd Qtr Pts/Gm,28.2 (#10)
Scoring Statistics,4th Qtr Pts/Gm,28.4 (#8),Opp 4th Qtr Pts/Gm,26.0 (#3)
Scoring Statistics,OT Pts/Gm,0.5 (#16),Opp OT Pts/Gm,0.5 (#16)
Rebounding Statistics,Off Rebounds/Gm,10.9 (#17),Opp Off Rebounds/Gm,11.3 (#17)
Rebounding Statistics,Def Rebounds/Gm,32.9 (#20),Opp Def Rebounds/Gm,32.4 (#10)
Rebounding Statistics,Off Rebound %,25.3% (#15),Opp Off Rebound %,25.5% (#19)
Rebounding Statistics,Def Rebound %,74.5% (#19),Opp Def Rebound %,74.7% (#15)
Blocks Statistics,Blocks/Game,4.8 (#16),Opp Blocks/Game,4.7 (#12)
Blocks Statistics,Block %,5.5% (#15),Opp Block %,5.4% (#14)
Steals Statistics,Steals/Game,8.1 (#13),Opp Steals/Game,8.6 (#20)
Steals Statistics,Steals/Play,7.2% (#11),Opp Steals/Play,7.7% (#23)
Turnovers Statistics,Turnovers/Game,14.5 (#19),Opp Turnovers/Game,14.8 (#12)
Turnovers Statistics,Turnovers/Play,13.0% (#20),Opp Turnovers/Play,13.1% (#10)
Fouls Statistics,Personal Fouls/Gm,18.1 (#10),Opp Personal Fouls/Gm,19.0 (#12)
Fouls Statistics,Tech Fouls/Gm,0.5 (#26),Opp Tech Fouls/Gm,0.3 (#10)
Fouls Statistics,Personal Fouls/Play,16.1% (#14),Opp Personal Fouls/Play,16.9% (#9)
